0,27162, 2099715920,27162, 2101340986
1,27162, 2105028242,27162, 2105106480
1,27162, 2107833836,27162, 2108010720
2,27162, 2110114011,27162, 2110192458
3,27162, 2113221711,27162, 2113333737
5,27162, 2119430246,27162, 2119493796
8,27162, 2121210398,27162, 2121249565
13,27162, 2122794562,27162, 2122842636
21,27162, 2124437480,27162, 2124485692
34,27162, 2127028662,27162, 2127103242
55,27162, 2130702381,27162, 2131169402
89,27162, 2140584506,27162, 2141104689
144,27162, 2143342667,27162, 2143495952
233,27162, 2145867283,27162, 2145967162
377,27162,-2144265726,27162,-2144122032
610,27162,-2141855504,27162,-2141758157
987,27162,-2140116384,27162,-2140064081
1597,27162,-2138594513,27162,-2138537504
2584,27162,-2137190869,27162,-2137140016
4181,27162,-2135651901,27162,-2135597954
6765,27162,-2134151687,27162,-2134089340
10946,27162,-2132553457,27162,-2132495151
17711,27162,-2130967087,27162,-2130897351
28657,27162,-2129347713,27162,-2129287284
46368,27162,-2127270028,27162,-2127187490
75025,27162,-2118552594,27162,-2118429247
121393,27162,-2116321237,27162,-2116237872
196418,27162,-2114276553,27162,-2114170853
317811,27162,-2112490859,27162,-2112408638
514229,27162,-2110607601,27162,-2110505173
832040,27162,-2108405132,27162,-2108284041
1346269,27162,-2104245710,27162,-2104095416
2178309,27162,-2100724654,27162,-2100639873
3524578,27162,-2099129323,27162,-2099060298
5702887,27162,-2097602310,27162,-2097543201
9227465,27162,-2096095791,27162,-2096033960
14930352,27162,-2094591173,27162,-2094525879
24157817,27162,-2093084113,27162,-2093018982
39088169,27162,-2091512351,27162,-2091441132
63245986,27162,-2090034360,27162,-2089971223
102334155,27162,-2088578805,27162,-2088507981
