0, 27130, 386911364, 27130, 386994721
1, 27130, 388953585, 27130, 388998333
1, 27130, 391564542, 27130, 391864261
2, 27130, 395962945, 27130, 396035383
3, 27130, 397965283, 27130, 398009258
5, 27130, 400536086, 27130, 400615490
8, 27130, 403274248, 27130, 403435412
13, 27130, 406202468, 27130, 406272896
21, 27130, 407996889, 27130, 408043652
34, 27130, 409468627, 27130, 409507324
55, 27130, 410867328, 27130, 410905396
89, 27130, 412213793, 27130, 412250581
144, 27130, 413542817, 27130, 413590881
233, 27130, 414888164, 27130, 414935605
377, 27130, 416622864, 27130, 416693164
610, 27130, 418370120, 27130, 418426852
987, 27130, 419754293, 27130, 419813667
1597, 27130, 421123964, 27130, 421197520
2584, 27130, 422448796, 27130, 422531143
4181, 27130, 423844714, 27130, 423950120
6765, 27130, 425369105, 27130, 425518914
10946, 27130, 427314190, 27130, 427521946
17711, 27130, 429234817, 27130, 429546646
28657, 27130, 431139017, 27130, 431703484
46368, 27130, 433884577, 27130, 434822906
75025, 27130, 437327311, 27130, 438664896
121393, 27130, 443109193, 27130, 445314293
196418, 27130, 449920739, 27130, 452596595
317811, 27130, 457561178, 27130, 461737964
514229, 27130, 463483324, 27130, 470979965
832040, 27130, 474021287, 27130, 485061984
1346269, 27130, 486613408, 27130, 504816318
2178309, 27130, 506662081, 27130, 540193640
3524578, 27130, 541989514, 27130, 587921958
5702887, 27130, 589734409, 27130, 680429439
9227465, 27130, 691937009, 27130, 822946037
14930352, 27130, 824817705, 27130,  1063526559
24157817, 27130,  1066408230, 27130,  1424991842
39088169, 27130,  1426886206, 27130,  1989221328
63245986, 27130,  1991139365, 27130, -1437796488
102334155, 27130, -1435497941, 27130, -39142184
